customer_id,transaction_date,category,amount
1,2025-08-21,Travel,49858.18
1,2025-02-23,Entertainment,19965.41
1,2025-03-02,Travel,13939.79
1,2025-06-05,Travel,28017.25
1,2025-06-20,Groceries,21650.91
1,2025-08-21,Investment,35876.01
1,2025-07-13,Rent,30398.73
1,2025-06-15,Groceries,41811.52
1,2024-11-13,Dining,40072.18
1,2025-07-01,Rent,11856.3
1,2024-11-13,Groceries,6927.46
1,2024-12-08,Rent,42873.34
1,2024-10-23,Entertainment,33316.22
1,2024-10-06,Dining,3383.38
1,2025-06-25,Entertainment,6813.49
1,2025-03-04,Investment,44987.79
1,2025-01-09,Travel,48203.84
1,2025-06-03,Groceries,27516.88
1,2025-10-01,Dining,37157.97
1,2025-04-08,Investment,1846.42
1,2025-06-29,Rent,5633.86
1,2025-10-02,Entertainment,8993.2
1,2025-03-15,Travel,10556.74
1,2025-05-07,Travel,8244.21
1,2025-03-02,Rent,12924.83
1,2025-06-04,Entertainment,39933.23
1,2025-09-17,Rent,47434.49
1,2025-01-09,Groceries,7852.31
1,2025-04-28,Investment,18937.04
1,2024-10-29,Investment,36457.99
1,2024-12-20,Entertainment,15507.45
1,2025-06-12,Entertainment,31027.17
1,2024-10-24,Dining,16526.74
1,2025-03-10,Dining,10461.61
1,2025-01-06,Entertainment,34072.94
2,2025-01-29,Dining,4615.72
2,2025-03-26,Dining,24074.45
2,2025-05-25,Rent,44899.66
2,2025-05-11,Rent,24797.81
2,2025-08-06,Groceries,24864.14
2,2025-03-06,Entertainment,10824.7
2,2025-01-03,Investment,26109.7
2,2024-11-06,Investment,15702.03
2,2025-02-22,Groceries,17148.63
2,2025-01-31,Groceries,37956.85
2,2025-04-05,Dining,44960.24
2,2025-09-01,Dining,34400.13
2,2024-10-16,Groceries,44496.9
2,2024-10-21,Rent,33124.61
2,2024-12-02,Entertainment,46671.02
2,2024-10-07,Travel,27959.04
2,2025-04-07,Travel,32642.89
2,2025-07-08,Entertainment,14981.97
2,2025-04-14,Entertainment,26972.34
2,2025-05-15,Entertainment,39955.03
2,2025-04-07,Rent,47694.75
2,2025-08-13,Entertainment,18004.91
2,2025-02-06,Groceries,45591.74
2,2024-12-24,Rent,28511.12
2,2025-01-19,Groceries,35355.42
2,2024-10-29,Entertainment,28280.55
2,2025-02-18,Rent,31627.69
2,2025-03-11,Entertainment,7028.27
2,2024-12-22,Investment,9510.05
2,2025-08-21,Entertainment,26414.64
2,2025-08-31,Groceries,35216.94
2,2025-08-14,Entertainment,22341.9
3,2025-02-17,Travel,40542.59
3,2025-06-15,Rent,26670.4
3,2025-07-15,Entertainment,37551.81
3,2024-11-06,Travel,39714.73
3,2024-11-20,Entertainment,22970.48
3,2025-03-01,Rent,22645.97
3,2025-09-21,Travel,16024.36
3,2025-06-22,Rent,44520.7
3,2025-09-01,Travel,43119.96
3,2025-09-09,Groceries,36568.69
3,2024-10-29,Groceries,8805.95
3,2025-04-13,Dining,31077.39
3,2025-01-12,Entertainment,15460.63
3,2025-04-13,Dining,40496.87
3,2024-10-20,Entertainment,13554.74
3,2025-06-30,Groceries,46378.67
3,2025-03-24,Rent,18209.66
3,2025-09-16,Rent,25737.69
3,2025-06-24,Rent,27114.7
3,2025-09-09,Entertainment,46513.68
3,2025-04-28,Investment,39189.12
3,2025-09-29,Entertainment,37243.63
3,2024-12-23,Dining,12517.48
3,2025-06-23,Travel,26268.86
3,2025-03-25,Rent,45777.56
3,2025-06-01,Rent,29205.7
3,2025-05-05,Investment,8207.85
3,2024-12-18,Rent,739.69
3,2025-08-09,Rent,37339.7
3,2025-02-10,Entertainment,33159.96
3,2025-01-20,Rent,22788.84
3,2025-05-30,Entertainment,1983.82
3,2025-04-28,Dining,30610.89
3,2025-07-17,Dining,48944.75
3,2025-06-01,Entertainment,43227.33
3,2024-11-09,Entertainment,37362.71
3,2024-11-17,Travel,9329.57
3,2025-07-26,Dining,38718.62
3,2025-03-29,Entertainment,29185.74
3,2025-05-09,Investment,31434.12
3,2025-08-07,Groceries,5392.81
3,2024-10-08,Entertainment,16335.3
3,2025-08-24,Entertainment,11064.35
3,2025-01-31,Travel,27014.26
3,2025-09-14,Travel,26557.52
3,2024-12-28,Groceries,29780.88
3,2025-06-05,Rent,17871.45
4,2025-02-23,Groceries,12075.69
4,2025-01-04,Entertainment,19928.09
4,2024-12-02,Travel,37518.83
4,2025-02-07,Travel,7700.27
4,2025-03-07,Travel,46296.49
4,2024-10-12,Groceries,37709.54
4,2024-11-16,Dining,27869.99
4,2025-02-01,Rent,43097.51
4,2025-09-08,Dining,30297.62
4,2024-10-03,Rent,23461.59
4,2025-07-10,Investment,47018.03
4,2025-07-13,Rent,40349.77
4,2025-08-01,Dining,41037.06
4,2025-02-14,Entertainment,6759.63
4,2025-06-09,Rent,19792.76
4,2025-08-07,Rent,46195.37
4,2025-01-17,Groceries,16525.48
4,2024-10-26,Investment,22965.0
4,2025-07-15,Rent,17782.62
4,2024-10-25,Rent,10092.69
4,2025-03-25,Entertainment,23025.08
4,2025-04-30,Travel,3793.98
4,2025-05-15,Dining,7198.86
4,2025-06-16,Dining,33281.28
4,2025-06-06,Entertainment,3061.91
4,2024-12-18,Dining,25718.5
4,2024-10-23,Dining,36959.24
4,2025-06-26,Travel,4054.54
4,2025-08-23,Groceries,49718.14
4,2025-07-06,Rent,48858.45
4,2025-01-17,Dining,1191.76
4,2025-03-19,Investment,8199.07
4,2025-07-22,Groceries,45689.39
4,2025-07-12,Travel,25996.67
4,2025-04-26,Entertainment,19239.86
