customer_id,event_date,response
1940815,2025-10-02,Clicked
1940815,2025-10-02,Clicked
1940815,2025-10-02,Clicked
12657432,2025-10-02,Clicked
12657432,2025-10-02,Clicked
10174833,2025-10-02,Opened
16497775,2025-10-02,Converted
16497775,2025-10-02,Converted
16497775,2025-10-02,Converted
16497775,2025-10-02,Converted
16497775,2025-10-02,Converted
6164702,2025-10-02,Opened
6164702,2025-10-02,Opened
6164702,2025-10-02,Opened
6164702,2025-10-02,Opened
10055941,2025-10-02,Opened
10055941,2025-10-02,Clicked
10055941,2025-10-02,Opened
647269,2025-10-02,Opened
647269,2025-10-02,Opened
12404636,2025-10-02,Converted
12404636,2025-10-02,Converted
12404636,2025-10-02,Converted
11409015,2025-10-02,Opened
11409015,2025-10-02,Opened
11409015,2025-10-02,Opened
7953818,2025-10-02,Converted
7953818,2025-10-02,Opened
7953818,2025-10-02,Converted
7953818,2025-10-02,Opened
13594838,2025-10-02,Opened
13594838,2025-10-02,Opened
13594838,2025-10-02,Opened
13594838,2025-10-02,Opened
14633273,2025-10-02,Opened
14633273,2025-10-02,Opened
14633273,2025-10-02,Opened
13182764,2025-10-02,Opened
13182764,2025-10-02,Opened
13866982,2025-10-02,Converted
13866982,2025-10-02,Opened
13866982,2025-10-02,Converted
13866982,2025-10-02,Converted
8930420,2025-10-02,Opened
8930420,2025-10-02,Opened
8930420,2025-10-02,Opened
8845660,2025-10-02,Converted
8845660,2025-10-02,Converted
8845660,2025-10-02,Converted
4373876,2025-10-02,Converted
4373876,2025-10-02,Converted
5441167,2025-10-02,Opened
5441167,2025-10-02,Clicked
5268443,2025-10-02,Converted
5268443,2025-10-02,Opened
5268443,2025-10-02,Converted
6586643,2025-10-02,Opened
6586643,2025-10-02,Opened
11377900,2025-10-02,Opened
11377900,2025-10-02,Opened
11377900,2025-10-02,Opened
3124586,2025-10-02,Converted
3124586,2025-10-02,Clicked
3124586,2025-10-02,Opened
1986143,2025-10-02,Converted
1986143,2025-10-02,Opened
6000337,2025-10-02,Clicked
6000337,2025-10-02,Clicked
6000337,2025-10-02,Clicked
15277755,2025-10-02,Converted
15277755,2025-10-02,Converted
15277755,2025-10-02,Converted
16722218,2025-10-02,Converted
16722218,2025-10-02,Converted
4855855,2025-10-02,Opened
4855855,2025-10-02,Opened
4855855,2025-10-02,Opened
4855855,2025-10-02,Opened
1553124,2025-10-02,Opened
1553124,2025-10-02,Opened
1553124,2025-10-02,Opened
13851346,2025-10-02,Opened
13851346,2025-10-02,Clicked
13851346,2025-10-02,Opened
4627635,2025-10-02,Opened
4627635,2025-10-02,Opened
6915383,2025-10-02,Converted
6915383,2025-10-02,Converted
6915383,2025-10-02,Converted
4514681,2025-10-02,Converted
4514681,2025-10-02,Converted
4514681,2025-10-02,Converted
12173211,2025-10-02,Converted
12173211,2025-10-02,Opened
13145851,2025-10-02,Converted
13145851,2025-10-02,Converted
427922,2025-10-02,Opened
427922,2025-10-02,Opened
4790771,2025-10-02,Opened
4790771,2025-10-02,Clicked
4790771,2025-10-02,Opened
15982487,2025-10-02,Converted
15982487,2025-10-02,Opened
15982487,2025-10-02,Converted
5635056,2025-10-02,Converted
5635056,2025-10-02,Opened
5635056,2025-10-02,Converted
1726690,2025-10-02,Opened
1726690,2025-10-02,Clicked
5304947,2025-10-02,Opened
5304947,2025-10-02,Opened
5304947,2025-10-02,Opened
15211291,2025-10-02,Clicked
15211291,2025-10-02,Clicked
15211291,2025-10-02,Clicked
15211291,2025-10-02,Clicked
15211291,2025-10-02,Clicked
7141802,2025-10-02,Converted
7141802,2025-10-02,Converted
7141802,2025-10-02,Converted
7141802,2025-10-02,Converted
9095788,2025-10-02,Opened
9095788,2025-10-02,Clicked
9095788,2025-10-02,Opened
11169091,2025-10-02,Opened
11169091,2025-10-02,Clicked
6709464,2025-10-02,Opened
6709464,2025-10-02,Opened
6709464,2025-10-02,Opened
9377474,2025-10-02,Converted
9377474,2025-10-02,Converted
10781952,2025-10-02,Converted
10781952,2025-10-02,Opened
10781952,2025-10-02,Opened
10781952,2025-10-02,Opened
12933910,2025-10-02,Opened
12933910,2025-10-02,Opened
12933910,2025-10-02,Opened
12933910,2025-10-02,Opened
12933910,2025-10-02,Opened
8761547,2025-10-02,Opened
8761547,2025-10-02,Clicked
8761547,2025-10-02,Opened
8761547,2025-10-02,Opened
8761547,2025-10-02,Clicked
956896,2025-10-02,Opened
956896,2025-10-02,Opened
7552049,2025-10-02,Converted
7552049,2025-10-02,Opened
14264202,2025-10-02,Converted
14264202,2025-10-02,Opened
14264202,2025-10-02,Converted
6223551,2025-10-02,Opened
6223551,2025-10-02,Opened
6223551,2025-10-02,Opened
6972096,2025-10-02,Converted
6972096,2025-10-02,Converted
6972096,2025-10-02,Converted
6972096,2025-10-02,Converted
4829429,2025-10-02,Opened
4829429,2025-10-02,Opened
4829429,2025-10-02,Opened
3457576,2025-10-02,Opened
3457576,2025-10-02,Opened
3457576,2025-10-02,Opened
3457576,2025-10-02,Opened
3457576,2025-10-02,Opened
15900268,2025-10-02,Converted
15900268,2025-10-02,Converted
15900268,2025-10-02,Converted
15900268,2025-10-02,Converted
15900268,2025-10-02,Converted
10791495,2025-10-02,Opened
10791495,2025-10-02,Clicked
11972157,2025-10-02,Converted
11972157,2025-10-02,Converted
11972157,2025-10-02,Converted
11972157,2025-10-02,Converted
12272390,2025-10-02,Converted
12272390,2025-10-02,Converted
12272390,2025-10-02,Converted
312567,2025-10-02,Clicked
312567,2025-10-02,Clicked
7892775,2025-10-02,Opened
7892775,2025-10-02,Clicked
7892775,2025-10-02,Opened
12181311,2025-10-02,Opened
12181311,2025-10-02,Opened
10794421,2025-10-02,Converted
10424689,2025-10-02,Opened
10424689,2025-10-02,Opened
10424689,2025-10-02,Opened
10424689,2025-10-02,Opened
9324623,2025-10-02,Converted
9324623,2025-10-02,Converted
14072913,2025-10-02,Opened
14072913,2025-10-02,Clicked
14072913,2025-10-02,Opened
12843040,2025-10-02,Converted
12843040,2025-10-02,Converted
12843040,2025-10-02,Converted
12843040,2025-10-02,Converted
10395218,2025-10-02,Opened
10395218,2025-10-02,Clicked
14104742,2025-10-02,Opened
